x,y,c
198.034,68.0194,3
115.007,385.042,2
197.013,67.0107,3
193.007,63.0403,3
161.014,31.0406,4
242.044,112.017,1
195.045,65.0524,3
140.057,10.0245,4
256.014,126.01,1
150.024,20.0375,4
263.062,133.027,1
79.0142,349.049,2
229.032,99.0079,3
263.005,133.014,1
188.061,58.0064,3
233.042,103.019,1
240.014,110.051,1
246.001,116.059,1
165.014,35.0117,4
195.037,65.0416,3
150.033,20.0196,4
314.041,184.015,0
236.052,106.01,1
149.062,19.0497,4
179.051,49.0329,4
74.0336,344.014,2
84.0524,354.021,2
181.001,51.0418,4
159.046,29.0121,4
254.03,124.004,1
318.059,188.033,0
160.044,30.0137,4
125.013,395.008,2
276.064,146.06,1
147.023,17.0414,4
159.042,29.026,4
74.0072,344.007,2
162.056,32.0429,4
266.004,136.003,1
258.039,128.025,1
276.03,146.037,1
116.034,386.062,2
212.008,82.0532,3
141.036,11.0349,4
300.022,170.04,0
200.025,70.0042,3
169.038,39.0323,4
301.024,171.034,0
230.004,100.039,3
152.034,22.0218,4
126.033,396.064,2
129.022,399.046,2
59.0562,329.029,2
241.065,111.006,1
240.033,110.032,1
177.059,47.0489,4
211.025,81.0334,3
259.007,129.034,1
204.027,74.0515,3
106.006,376.063,2
149.049,19.0363,4
145.014,15.0529,4
349.043,219.012,0
258.028,128.06,1
183.007,53.0045,3
145.042,15.0326,4
290.034,160.001,0
194.063,64.0274,3
263.037,133.018,1
225.027,95.0576,3
188.031,58.0288,3
110.007,380.043,2
141.014,11.0185,4
290.014,160.056,0
211.011,81.0573,3
47.0155,317.018,2
178.042,48.0257,4
66.0097,336.045,2
98.0456,368.035,2
182.009,52.0487,3
204.001,74.0266,3
148.016,18.03,4
134.02,4.04446,4
84.0022,354.004,2
120.044,390.031,2
299.034,169.015,0
177.052,47.0354,4
177.032,47.0553,4
86.0496,356.062,2
187.015,57.0092,3
182.065,52.017,3
147.038,17.0184,4
62.0372,332.005,2
186.041,56.0639,3
195.017,65.0074,3
124.01,394.033,2
241.022,111.046,1
188.023,58.0033,3
208.059,78.0549,3
179.064,49.0219,4
59.0476,329.009,2
208.005,78.0194,3
160.05,30.0644,4
220.004,90.0328,3
200.029,70.0625,3
109.024,379.058,2
265.039,135.032,1
99.0407,369.049,2
268.033,138.027,1
219.038,89.0617,3
197.062,67.0602,3
150.024,20.0304,4
204.002,74.0407,3
286.028,156.063,0
71.0339,341.01,2
215.004,85.0471,3
314.002,184.058,0
116.035,386.012,2
292.018,162.019,0
151.033,21.0555,4
175.064,45.0345,4
255.063,125.065,1
164.061,34.0169,4
258.036,128.065,1
143.028,13.0251,4
168.05,38.0558,4
149.029,19.0141,4
295.043,165.012,0
169.01,39.0476,4
221.048,91.0518,3
176.038,46.0554,4
180.006,50.0005,4
264.01,134.01,1
241.017,111.006,1
57.0552,327.011,2
234.058,104.046,1
124.053,394.059,2
185.051,55.0494,3
146.014,16.0186,4
182.003,52.0279,3
172.058,42.0322,4
199.003,69.0038,3
202.04,72.0213,3
368.048,238.008,0
98.0164,368.05,2
177.04,47.0071,4
263.056,133.036,1
196.021,66.0583,3
147.033,17.0354,4
270.065,140.02,1
128.044,398.018,2
268.033,138.001,1
221.052,91.0424,3
215.021,85.0016,3
159.065,29.0038,4
73.0072,343.01,2
